date,value
20211111,9
20210716,6
20210711,9
20211211,6
20210216,8
20210515,9
20210414,3
20211210,4
20210222,3
20210307,4
20210721,4
20210911,5
20210509,5
20210423,9
20210621,9
20210807,8
20210406,7
20210616,9
20210112,4
20210904,4
20210625,5
20210929,4
20210817,3
20210310,6
20210813,11
20211015,6
20210705,8
20210620,9
20210819,7
20211217,8
20210321,4
20211006,3
20211116,4
20210608,4
20210913,5
20210720,4
20210304,6
20210815,4
20210405,7
20210401,2
20210317,1
20210131,5
20210126,4
20210428,6
20211113,7
20210402,3
20211215,1
20211213,1
20210707,5
20210622,9
20210814,9
20210512,7
20210430,5
20210822,2
20210907,6
20210319,3
20210612,4
20210411,3
20210628,6
20211027,2
20211117,4
20210630,6
20210404,8
20210806,5
20210209,1
20210425,5
20210624,3
20210722,2
20211202,5
20210525,7
20210908,4
20210816,4
20210325,3
20210502,8
20210702,5
20210915,3
20211212,8
20210828,7
20210802,5
20210522,9
20210427,4
20210906,6
20210611,11
20210408,6
20210501,5
20211012,2
20210613,5
20211227,5
20210916,4
20211201,7
20210805,9
20210804,8
20210912,5
20211222,5
20210308,3
20210309,3
20211218,7
20210330,8
20210314,6
20210207,3
20210614,8
20210920,4
20210105,1
20210523,9
20210930,3
20210424,14
20210526,5
20210302,5
20210718,7
20210118,4
20211102,2
20210528,6
20210812,7
20210215,3
20211017,5
20210530,4
20210731,7
20210412,3
20210629,8
20210518,4
20210511,6
20210417,4
20211230,2
20210924,5
20211002,6
20210704,12
20210119,3
20210715,7
20210605,6
20210127,1
20211031,9
20210619,10
20210926,2
20210901,4
20210730,8
20210313,5
20210203,2
20210104,3
20210825,4
20210826,2
20211028,7
20211205,3
20211106,5
20210701,6
20210830,7
20211216,5
20210821,6
20211219,3
20210506,11
20210227,6
20210922,5
20211119,3
20210618,4
20210426,4
20211109,5
20211019,4
20210811,4
20210905,9
20211108,8
20210206,4
20210527,6
20210510,3
20210110,4
20211001,7
20210106,2
20210531,10
20210420,3
20211228,1
20210923,5
20210903,7
20211003,8
20210712,5
20210221,3
20211016,4
20210919,4
20210517,6
20210831,11
20210928,7
20211209,4
20210829,6
20210719,5
20210615,3
20210201,6
20210623,3
20210410,2
20210820,1
20210808,4
20210607,6
20210116,4
20210710,2
20210818,4
20211013,5
20211127,5
20210728,2
20210602,4
20210327,8
20210228,3
20210223,4
20210416,5
20211121,9
20211025,4
20210823,4
20211220,3
20210429,8
20211214,3
20210717,4
20211124,2
20210320,2
20210723,4
20210212,4
20211030,3
20210902,3
20210407,3
20211026,1
20211231,5
20210505,3
20211101,2
20211009,3
20210713,4
20211023,4
20210210,1
20210305,1
20210419,4
20210910,4
20210328,5
20211203,7
20210803,4
20210415,4
20210224,4
20210917,3
20210504,4
20211206,4
20211118,6
20210627,7
20211110,5
20210521,3
20210421,9
20210507,5
20211005,1
20211226,5
20211122,6
20211004,6
20210925,4
20210508,5
20210708,4
20210103,3
20210204,1
20210706,5
20211014,8
20210520,5
20210403,3
20210220,2
20211021,5
20210918,9
20210809,5
20210726,8
20210703,4
20210111,2
20211224,3
20210827,5
20210101,8
20210514,5
20210130,2
20211126,4
20211204,6
20210610,2
20210626,3
20210709,5
20210315,5
20210606,7
20210323,1
20210714,5
20211207,2
20210519,6
20210418,6
20210914,3
20210603,5
20211114,3
20211130,2
20210122,2
20211223,2
20210409,4
20210724,3
20210601,2
20211103,2
20210213,1
20210102,4
20210123,4
20210226,6
20210109,2
20210413,3
20210617,3
20210524,4
20211221,3
20211022,5
20210124,3
20210516,3
20211105,7
20211112,1
20210921,3
20210312,3
20210927,5
20211129,2
20210513,6
20211128,3
20211010,5
20210324,3
20210218,2
20210604,3
20210801,5
20211007,4
20210311,4
20211024,3
20210208,2
20210326,3
20211020,2
20210225,2
20211018,3
20211125,3
20210729,3
20210107,2
20210810,3
20211115,4
20210115,1
20210725,2
20210316,1
20210318,1
20210609,1
20210108,2
20210214,3
20210217,1
20211229,2
20211225,1
20211104,1
20211123,3
20211008,1
20210113,2
20210202,2
20211107,1
20211011,2
20210322,1
20210727,2
20210503,2
20210303,1
20211120,1
20210114,1
20210125,1
20210329,1
20210129,1
20210422,1
20210306,1
20210301,1
20210529,1
20210117,1
20210824,1
20200612,5
20071007,6
20120826,8
20130107,6
20130721,9
20200706,4
20100812,2
20151217,4
20150122,4
20180527,6
20110530,13
20181104,7
20180920,3
20181002,2
20180921,5
20181128,2
20181003,5
20180915,5
20170105,1
20120117,1
20120709,9
20120909,4
20181025,2
20151214,5
20100903,10
20100731,12
20131120,2
20091025,8
20060315,1
20101022,3
20200806,6
20170805,2
20071008,7
20091019,3
20060916,9
20131112,2
20081111,5
20200516,7
20070709,4
20060110,3
20091012,6
20120111,3
20100327,5
20060817,6
20160716,6
20161223,2
20191112,1
20200530,7
20060601,4
20060613,2
20070319,4
20101127,3
20200803,9
20100811,4
20200813,6
20150723,6
20091217,4
20121007,3
20060726,7
20100729,4
20101028,8
20100311,5
20160117,3
20190313,1
20120722,6
20180312,1
20160406,2
20190918,2
20070824,6
20070105,5
20190528,5
20100101,8
20130309,4
20060704,7
20150526,9
20121113,4
20160905,7
20061219,2
20160703,7
20180703,3
20151012,1
20180209,3
20090924,5
20170131,1
20180623,4
20140126,3
20070206,1
20071019,5
20090122,1
20110417,4
20071107,1
20161031,5
20070508,7
20170926,5
20070615,5
20101004,5
20090922,4
20200905,4
20120805,12
20100808,10
20101227,3
20110716,9
20090530,8
20071028,6
20160629,4
20080525,11
20070427,5
20091105,2
20080101,15
20170406,1
20150216,4
20171120,2
20110628,5
20200901,10
20071024,3
20080507,2
20200726,15
20120121,9
20100620,15
20140922,4
20100826,4
20081215,3
20160304,2
20130413,2
20200228,1
20120616,4
20131015,3
20130727,4
20100803,3
20120517,5
20191116,1
20101030,3
20090920,10
20160401,4
20161003,2
20151218,1
20080307,2
20090910,2
20130404,2
20180819,4
20060331,3
20110609,5
20060507,8
20110516,1
20160807,8
20131006,4
20190119,5
20191101,1
20101010,5
20160518,2
20070418,3
20090831,5
20121020,3
20080726,15
20160326,2
20071118,6
20101026,5
20070402,4
20200809,12
20200627,17
20151125,5
20100908,3
20150821,4
20130424,3
20140906,6
20140917,2
20081218,2
20080308,4
20161017,2
20160427,3
20101005,4
20200406,5
20170625,4
20160704,13
20061121,3
20161120,2
20200927,7
20110727,7
20070526,11
20070103,5
20140311,9
20110713,5
20110521,6
20060520,7
20060414,5
20200507,3
20110831,9
20160826,4
20111002,5
20120319,9
20111227,5
20170611,7
20191012,4
20120707,10
20160828,14
20200802,14
20081117,8
20140121,2
20200430,3
20071104,9
20070801,7
20160210,2
20080727,11
20130731,2
20070217,4
20100222,6
20191013,2
20070925,7
20080106,3
20201104,4
20190902,8
20090628,13
20150129,2
