INCIDENT_KEY,OCCUR_DATE
9953245,1/1/2006
9953252,1/1/2006
9953250,1/1/2006
9953247,1/1/2006
9953246,1/1/2006
139716503,1/1/2006
9953248,1/1/2006
9953249,1/2/2006
9953255,1/2/2006
9953257,1/2/2006
9953258,1/3/2006
9953259,1/3/2006
9953261,1/3/2006
10038625,1/3/2006
10038624,1/4/2006
10038627,1/4/2006
10038630,1/4/2006
10038629,1/4/2006
10038631,1/5/2006
10038632,1/5/2006
10038633,1/5/2006
10038634,1/5/2006
10038635,1/6/2006
10038637,1/6/2006
10038638,1/6/2006
10038640,1/7/2006
10038645,1/7/2006
10038641,1/8/2006
10038643,1/8/2006
10038642,1/8/2006
10038644,1/8/2006
10137410,1/9/2006
10038647,1/9/2006
10038648,1/9/2006
10137408,1/9/2006
10137411,1/9/2006
10038649,1/9/2006
10137413,1/10/2006
10137412,1/10/2006
10137414,1/10/2006
10137418,1/11/2006
10137416,1/11/2006
10137417,1/12/2006
10137421,1/12/2006
10137423,1/13/2006
10137422,1/13/2006
10137424,1/13/2006
10137425,1/13/2006
10137426,1/13/2006
10137429,1/13/2006
10137427,1/14/2006
10137428,1/14/2006
10137430,1/14/2006
10137431,1/14/2006
10137434,1/14/2006
10137432,1/15/2006
10187489,1/15/2006
10137433,1/15/2006
10187488,1/16/2006
10187487,1/16/2006
10137435,1/16/2006
10187486,1/16/2006
10187490,1/17/2006
10187492,1/17/2006
10187493,1/17/2006
10187491,1/18/2006
10187495,1/18/2006
10187494,1/18/2006
10187501,1/19/2006
10187496,1/19/2006
10187500,1/19/2006
10187498,1/19/2006
10187497,1/19/2006
10187502,1/19/2006
10187499,1/20/2006
10187504,1/20/2006
10187506,1/21/2006
10187505,1/21/2006
10187508,1/21/2006
10187514,1/21/2006
10187515,1/21/2006
10187509,1/22/2006
10187519,1/22/2006
10187512,1/22/2006
10187511,1/22/2006
10187510,1/22/2006
10187513,1/22/2006
10187516,1/22/2006
10187518,1/22/2006
10187517,1/22/2006
10187520,1/23/2006
10187521,1/23/2006
10240239,1/23/2006
10240241,1/24/2006
10240242,1/24/2006
10240243,1/24/2006
10240245,1/25/2006
10240246,1/25/2006
10240248,1/26/2006
10240251,1/28/2006
10240253,1/28/2006
10240252,1/28/2006
10240254,1/28/2006
10240256,1/29/2006
10240261,1/29/2006
10240262,1/29/2006
10240257,1/29/2006
10240260,1/30/2006
10240263,1/30/2006
10333306,1/30/2006
10333307,1/31/2006
10333308,1/31/2006
10333309,2/1/2006
10333318,2/1/2006
10333312,2/1/2006
10333314,2/1/2006
10333324,2/1/2006
10333315,2/1/2006
10333317,2/2/2006
10333319,2/2/2006
10333320,2/3/2006
10333322,2/3/2006
10333327,2/4/2006
10333325,2/4/2006
10333326,2/4/2006
10333328,2/4/2006
10333341,2/4/2006
10333329,2/4/2006
10333334,2/5/2006
10333330,2/5/2006
10333332,2/5/2006
10333338,2/5/2006
10333339,2/5/2006
10333333,2/5/2006
10333343,2/6/2006
10333342,2/7/2006
10411002,2/8/2006
10411003,2/8/2006
10411004,2/9/2006
10411006,2/9/2006
10411008,2/10/2006
10411016,2/10/2006
10411009,2/11/2006
10411017,2/11/2006
10411010,2/11/2006
10411011,2/11/2006
10411013,2/12/2006
10411014,2/12/2006
10411015,2/13/2006
10411018,2/13/2006
10454360,2/14/2006
10454361,2/15/2006
10454364,2/15/2006
10454362,2/15/2006
10454369,2/16/2006
10454365,2/16/2006
10454366,2/17/2006
10454367,2/17/2006
10454368,2/17/2006
10454382,2/17/2006
10454383,2/17/2006
10454370,2/17/2006
10454371,2/17/2006
10454386,2/18/2006
10454372,2/18/2006
10454373,2/19/2006
10454374,2/19/2006
10454376,2/19/2006
10454377,2/19/2006
10454378,2/19/2006
10454379,2/19/2006
10454380,2/19/2006
10454384,2/19/2006
10454381,2/20/2006
10619049,2/20/2006
10619052,2/21/2006
10619048,2/21/2006
10619050,2/21/2006
10619051,2/21/2006
10619053,2/22/2006
10619054,2/22/2006
10619057,2/24/2006
10619066,2/24/2006
10619058,2/25/2006
10619059,2/25/2006
10619062,2/25/2006
10619060,2/26/2006
10619067,2/26/2006
10619068,2/28/2006
10619070,2/28/2006
10619072,2/28/2006
10619071,2/28/2006
10619074,2/28/2006
10619077,3/2/2006
10619075,3/2/2006
10619076,3/2/2006
10619080,3/3/2006
10619081,3/4/2006
10619082,3/4/2006
10619094,3/4/2006
10619085,3/4/2006
10619084,3/4/2006
10619086,3/5/2006
10619087,3/5/2006
10619088,3/5/2006
10619091,3/5/2006
10619089,3/6/2006
10619095,3/6/2006
10619096,3/6/2006
10660747,3/6/2006
10660751,3/9/2006
10660750,3/9/2006
10660752,3/10/2006
10660753,3/10/2006
10660755,3/11/2006
10660754,3/11/2006
10660756,3/11/2006
10660757,3/11/2006
10660758,3/11/2006
10660759,3/11/2006
10660760,3/12/2006
10660761,3/13/2006
10660763,3/13/2006
10660764,3/14/2006
10713395,3/15/2006
10713396,3/16/2006
10713398,3/16/2006
10713397,3/16/2006
10713399,3/16/2006
10713401,3/17/2006
10713400,3/17/2006
10713402,3/18/2006
10713403,3/19/2006
10713404,3/19/2006
10713410,3/19/2006
10713405,3/20/2006
10713411,3/20/2006
10764206,3/20/2006
10764205,3/20/2006
10764208,3/21/2006
10764207,3/21/2006
10764209,3/21/2006
10764210,3/22/2006
10764211,3/22/2006
10764213,3/23/2006
10764214,3/23/2006
10764215,3/23/2006
10804595,3/24/2006
10804582,3/24/2006
10804583,3/24/2006
10804584,3/24/2006
10804585,3/25/2006
10804586,3/25/2006
10804587,3/25/2006
10804588,3/25/2006
10804589,3/26/2006
10804590,3/26/2006
10804591,3/26/2006
10804592,3/26/2006
10804593,3/26/2006
10804594,3/27/2006
10804596,3/27/2006
10804598,3/27/2006
10804600,3/28/2006
10879202,3/28/2006
10879203,3/28/2006
10879205,3/29/2006
10879207,3/29/2006
10879206,3/29/2006
10879209,3/31/2006
10879211,3/31/2006
10879212,3/31/2006
10879224,4/1/2006
10879213,4/1/2006
10879221,4/1/2006
10879214,4/1/2006
10879215,4/1/2006
10879217,4/2/2006
10879225,4/2/2006
10879216,4/2/2006
10879222,4/2/2006
10879218,4/3/2006
10879226,4/3/2006
10879227,4/3/2006
10879228,4/3/2006
10904917,4/4/2006
10904915,4/4/2006
10904916,4/4/2006
10904918,4/5/2006
10904920,4/5/2006
10904919,4/6/2006
10904922,4/6/2006
10904921,4/6/2006
10904923,4/6/2006
10953933,4/7/2006
10953935,4/8/2006
10953928,4/8/2006
10953931,4/8/2006
10953929,4/8/2006
10953930,4/8/2006
10953932,4/9/2006
